YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1987,PAK,267,6,10,SL,WON,HYDERABAD,AUSTRALIA
,,239,7,10,ENG,WON,RAWALPINDI,
,,216,9,10,WI,WON,LAHORE,
,,247,3,9,ENG,WON, KARACHI ,
,,297,7,8,SL,WON,FAISALABAD,
,,230,9,7,WI,LOST,KARACHI,
,,249,10,8,AUS,LOST,LAHORE,
,,,,,,,,
,SL,252,10,6,PAK,LOST,HYDERABAD,
,,169,4,4,WI,LOST,KARACHI,
,,158,8,4,ENG,LOST,PESHAWAR,
,,211,8,8,WI,LOST,KANPUR ,
,,184,8,7,PAK,LOST,FAISALABAD,
,,218,7,2,ENG,LOST,PUNE,
,,,,,,,,
,ENG,246,8,7,WI,WON,GUJRANWALA,
,,221,10,7,PAK,LOST,RAWALPINDI,
,,296,4,8,SL,WON,PESHAWAR,
,,244,9,3,PAK,LOST,KANPUR ,
,,269,5,10,WI,WON,JAIPUR,
,,219,2,7,SL,WON,PUNE,
,,254,6,10,IND,WON,MUMBAI,
,,246,8,5,AUS,LOST,KOLKATA,
,,,,,,,,
,WI,243,7,8,ENG,LOST,GUJRANWALA,
,,360,4,4,SL,WON,KANPUR ,
,,216,10,9,PAK,LOST,LAHORE,
,,236,8,8,SL,WON,KANPUR ,
,,235,10,5,ENG,LOST,JAIPUR,
,,258,7,9,PAK,WON,KARACHI,
,,,,,,,,
,IND,269,10,6,AUS,LOST,CHENNAI,
,,252,7,8,NZ,WON,BENGALURU,
,,136,2,5,ZIM,WON,MUMBAI,
,,289,6,10,AUS,WON,DELHI,
,,194,3,7,ZIM,WON,AHMEDABAD,
,,224,1,9,NZ,WON,NAGPUR,
,,219,10,6,ENG,LOST,MUMBAI,
,,,,,,,,
,AUS,270,6,10,IND,WON,CHENNAI,
,,235,9,10,ZIM,WON,CHENNAI,
,,199,4,9,NZ,WON,INDORE,
,,289,6,10,IND,LOST,DELHI,
,,251,8,10,NZ,WON,CHANDIGARH,
,,266,5,6,ZIM,WON,CUTTACK ,
,,267,8,10,PAK,WON,LAHORE,
,,253,5,8,ENG,WON,KOLKATA,
,,,,,,,,
,NZ,242,7,10,ZIM,WON,HYDERABAD,
,,236,8,7,IND,LOST,BENGALURU,
,,196,9,4,AUS,LOST,INDORE,
,,228,6,5,ZIM,WON,KOLKATA,
,,234,10,8,AUS,LOST,CHANDIGARH,
,,221,9,1,IND,LOST,NAGPUR,
,,,,,,,,
,ZIM,239,10,7,NZ,LOST,HYDERABAD,
,,139,10,9,AUS,LOST,CHANDIGARH,
,,135,10,2,IND,LOST,MUMBAI,
,,227,5,6,NZ,LOST,KOLKATA,
,,191,7,3,IND,LOST,AHMEDABAD,
,,196,6,5,AUS,LOST,CUTTACK ,
