YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1979,IND,190,10,1,WI,LOST,BIRMINGHAM,WEST INDIES
,IND,182,10,2,NZ,LOST,LEEDS,
,IND,238,10,5,SL,LOST,MANCHESTER,
,,,,,,,,
,WI,190,10,1,IND,WON,BIRMINGHAM,
,WI,NA,NR,NR,SL,NR,LONDON,
,WI,244,7,9,NZ,WON,NOTTINGHAM,
,WI,293,6,10,PAK,WON,LONDON,
,WI,286,9,10,ENG,WON,LONDON,
,,,,,,,,
,NZ,190,1,10,SL,WON,NOTTINGHAM,
,NZ,183,2,10,IND,WON,LEEDS,
,NZ,212,9,7,WI,LOST,NOTTINGHAM,
,NZ,212,9,8,ENG,LOST,MANCHESTER,
,,,,,,,,
,SL,189,10,1,NZ,LOST,NOTTINGHAM,
,SL,NA,NR,NR,WI,NR,LONDON,
,SL,238,5,10,IND,WON,MANCHESTER,
,,,,,,,,
,ENG,160,4,9,AUS,WON,LONDON,
,ENG,46,2,10,CAN,WON,MANCHESTER,
,ENG,165,9,10,PAK,WON,LEEDS,
,ENG,221,8,9,NZ,WON,MANCHESTER,
,ENG,194,9,10,WI,LOST,LONDON,
,,,,,,,,
,AUS,159,9,4,ENG,LOST,LONDON,
,AUS,197,10,7,PAK,LOST,NOTTINGHAM,
,AUS,106,3,10,CAN,WON,BIRMINGHAM,
,,,,,,,,
,CAN,139,9,2,PAK,LOST,LEEDS,
,CAN,45,10,2,ENG,LOST,MANCHESTER,
,CAN,105,10,3,AUS,LOST,BIRMINGHAM,
,,,,,,,,
,PAK,140,2,9,CAN,WON,LEEDS,
,PAK,286,7,10,AUS,WON,NOTTINGHAM,
,PAK,151,10,9,ENG,LOST,LEEDS,
,PAK,250,10,6,WI,LOST,LONDON,
