YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2011,BAN,283,9,4,IND,LOST,DHAKA,INDIA
,,205,10,10,IRE,WON,DHAKA,
,,58,10,1,WI,LOST,DHAKA,
,,227,8,10,ENG,WON,CHATTOGRAM,
,,166,4,10,NED,WON,CHATTOGRAM,
,,78,10,8,SA,LOST,DHAKA,
,,,,,,,,
,IND,370,4,9,BAN,WON,DHAKA,
,,338,10,8,ENG,TIE,BENGALURU,
,,210,5,10,IRE,WON,BENGALURU,
,,191,10,5,NED,WON,DELHI,
,,296,10,7,SA,LOST,NAGPUR,
,,268,10,10,WI,WON,CHENNAI,
,,267,5,6,AUS,WON,AHMEDABAD,
,,260,9,10,PAK,WON,MOHALI,
,,277,4,6,SL,WON,MUMBAI,
,,,,,,,,
,NZ,72,0,10,KEN,WON,CHENNAI,
,,206,10,3,AUS,LOST,NAGPUR,
,,166,0,10,ZIM,WON,AHMEDABAD,
,,302,7,10,PAK,WON,PALLEKALE,
,,358,6,9,CAN,WON,MUMBAI,
,,153,10,9,SL,LOST,MUMBAI,
,,221,8,10,SA,WON,DHAKA,
,,217,10,5,NZ,LOST,COLOMBO,
,,,,,,,,
,PAK,317,7,10,KEN,WON,HAMBANTOTA,
,,277,7,9,SL,WON,COLOMBO,
,,184,10,10,CAN,WON,COLOMBO,
,,192,10,7,NZ,LOST,PALLEKALE,
,,164,3,7,ZIM,WON,PALLEKALE,
,,178,6,10,AUS,WON,COLOMBO,
,,113,0,10,WI,WON,DHAKA,
,,231,10,9,IND,WON,MOHALI,
,,,,,,,,
,KEN,69,10,0,NZ,LOST,CHENNAI,
,,112,10,7,PAK,LOST,HAMBANTOTA,
,,142,10,1,SL,LOST,COLOMBO,
,,198,10,5,CAN,LOST,DELHI,
,,264,6,6,AUS,LOST,BENGALURU,
,,147,10,6,ZIM,LOST,KOLKATA,
,,,,,,,,
,SL,332,7,10,CAN,WON,HAMBANTOTA,
,,266,9,7,PAK,LOST,COLOMBO,
,,146,1,10,KEN,WON,COLOMBO,
,,NR,NR,NR,AUS,NR,COLOMBO,
,,327,6,10,ZIM,WON,PALLEKALE,
,,265,9,10,NZ,WON,MUMBAI,
,,231,0,6,ENG,WON,COLOMBO,
,,220,5,10,NZ,WON,COLOMBO,
,,274,6,4,IND,LOST,MUMBAI,
,,,,,,,,
,CAN,122,10,7,SL,LOST,HAMBANTOTA,
,,123,10,9,ZIM,LOST,NAGPUR,
,,138,10,10,PAK,LOST,COLOMBO,
,,199,5,10,KEN,WON,DELHI,
,,261,9,6,NZ,LOST,MUMBAI,
,,211,10,3,AUS,LOST,BENGALURU,
,,,,,,,,
,AUS,262,6,10,ZIM,WON,AHMEDABAD,
,,207,3,10,NZ,WON,NAGPUR,
,,NR,NR,NR,SL,NR,COLOMBO,
,,324,6,6,KEN,WON,BENGALURU,
,,212,3,10,CAN,WON,BENGALURU,
,,176,10,6,PAK,LOST,COLOMBO,
,,260,6,5,IND,LOST,AHMEDABAD,
,,,,,,,,
,ZIM,171,10,6,AUS,LOST,AHMEDABAD,
,,298,9,10,CAN,WON,NAGPUR,
,,162,10,0,NZ,LOST,AHMEDABAD,
,,188,10,6,SL,LOST,PALLEKALE,
,,151,7,3,PAK,LOST,PALLEKALE,
,,308,6,10,KEN,WON,KOLKATA,
,,,,,,,,
,ENG,296,4,6,NED,WON,NAGPUR,
,,338,9,10,IND,TIE,BENGALURU,
,,327,8,7,IRE,LOST,BENGALURU,
,,171,10,10,SA,WON,CHENNAI,
,,225,10,8,BAN,LOST,CHATTOGRAM,
,,243,10,10,WI,WON,CHENNAI,
,,229,6,0,SL,LOST,COLOMBO,
,,,,,,,,
,NED,292,6,4,ENG,LOST,NAGPUR,
,,115,10,8,WI,LOST,DELHI,
,,120,10,5,SA,LOST,MOHALI,
,,189,10,5,IND,LOST,DELHI,
,,160,10,4,BAN,LOST,CHATTOGRAM,
,,306,10,4,IRE,LOST,KOLKATA,
,,,,,,,,
,SA,223,3,10,WI,WON,DELHI,
,,351,5,10,NED,WON,MOHALI,
,,165,10,10,ENG,LOST,CHENNAI,
,,300,7,10,IND,LOST,NAGPUR,
,,272,7,10,IRE,LOST,KOLKATA,
,,284,8,10,BAN,LOST,DHAKA,
,,172,10,8,NZ,WON,DHAKA,
,,,,,,,,
,WI,222,10,3,SA,LOST,DELHI,
,,330,8,10,NED,WON,DELHI,
,,59,1,10,BAN,WON,DHAKA,
,,275,10,10,IRE,WON,MOHALI,
,,225,10,10,ENG,LOST,CHENNAI,
,,188,10,10,IND,LOST,CHENNAI,
,,112,10,0,PAK,LOST,DHAKA,
,,,,,,,,
,IRE,178,10,10,BAN,LOST,DHAKA,
,,329,7,8,ENG,WON,BENGALURU,
,,207,10,5,IND,LOST,BENGALURU,
,,231,10,10,WI,LOST,MOHALI,
,,141,10,7,SA,LOST,KOLKATA,
,,307,4,10,NED,WON,KOLKATA,
