YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1992,NZ,248,6,10,AUS,WON,AUCKLAND,PAKISTAN
,,210,4,9,SL,WON,HAMILTON,
,,191,3,7,SA,WON,AUCKLAND,
,,162,3,7,ZIM,WON,NAPIER,
,,206,5,7,WI,WON,AUCKLAND,
,,231,6,6,IND,WON,DUNEDIN,
,,201,3,8,ENG,WON,WELLINGTON,
,,166,10,3,PAK,LOST,CHRISTCHURCH,
,,262,7,6,PAK,LOST,AUCKLAND,
,,,,,,,,
,AUS,211,10,6,NZ,LOST,AUCKLAND,
,,170,9,1,SA,LOST,SYDNEY,
,,237,9,10,IND,WON,BRISBANE,
,,171,10,2,ENG,LOST,SYDNEY,
,,190,3,9,SL,WON,ADELAIDE,
,,172,10,9,PAK,LOST,PERTH,
,,265,6,10,ZIM,WON,HOBART,
,,216,6,10,WI,WON,MELBOURNE,
,,,,,,,,
,ENG,236,9,10,IND,WON,PERTH,
,,160,4,10,WI,WON,MELBOURNE,
,,NR,NR,NR,PAK,NR,ADELAIDE,
,,173,2,10,AUS,WON,SYDNEY,
,,280,6,10,SL,WON,BALLARAT,
,,226,7,4,SA,WON,MELBOURNE,
,,200,8,3,NZ,LOST,WELLINGTON,
,,125,10,10,ZIM,LOST,ALBURY,
,,252,6,6,SA,WON,SYDNEY,
,,227,10,6,PAK,LOST,MELBOURNE,
,,,,,,,,
,IND,227,10,9,ENG,LOST,PERTH,
,,NR,NR,NR,SL,NR,MACKAY,
,,234,10,9,AUS,LOST,BRISBANE,
,,216,7,10,PAK,WON,SYDNEY,
,,203,7,1,ZIM,WON,HAMILTON,
,,197,10,5,WI,LOST,WELLINGTON,
,,230,6,6,NZ,LOST,DUNEDIN,
,,180,6,4,SA,LOST,ADELAIDE,
,,,,,,,,
,SL,313,7,4,ZIM,WON,NEW PLYMOUTH,
,,206,9,4,NZ,LOST,HAMILTON,
,,NR,NR,NR,IND,NR,MACKAY,
,,198,7,10,SA,WON,WELLINGTON,
,,189,9,3,AUS,LOST,ADELAIDE,
,,174,10,6,ENG,LOST,BALLARAT,
,,177,9,8,WI,LOST,BERRI,
,,212,6,6,PAK,LOST,PERTH,
,,,,,,,,
,ZIM,312,4,7,SL,LOST,NEW PLYMOUTH,
,,201,7,4,PAK,LOST,HAMILTON,
,,189,7,8,WI,LOST,BRISBANE,
,,105,7,3,NZ,LOST,NAPIER,
,,104,1,7,IND,LOST,HAMILTON,
,,163,10,3,SA,LOST,CANBERRA,
,,137,10,6,AUS,LOST,HOBART,
,,134,10,10,ENG,WON,ALBURY,
,,,,,,,,
,PAK,220,2,0,WI,LOST,MELBOURNE,
,,254,4,7,ZIM,WON,HOBART,
,,NR,NR,NR,ENG,NR,ADELAIDE,
,,173,10,7,IND,LOST,SYDNEY,
,,173,8,7,SA,LOST,BRISBANE,
,,220,9,10,AUS,WON,PERTH,
,,216,6,6,SL,WON,PERTH,
,,167,3,10,NZ,WON,CHRISTCHURCH,
,,264,6,7,NZ,WON,AUCKLAND,
,,249,6,10,ENG,WON,MELBOURNE,
,,,,,,,,
,WI,221,0,2,PAK,WON,MELBOURNE,
,,157,10,4,ENG,LOST,MELBOURNE,
,,264,8,7,ZIM,WON,BRISBANE,
,,136,10,8,SA,LOST,CHRISTCHURCH,
,,203,7,5,NZ,LOST,AUCKLAND,
,,195,5,10,IND,WON,WELLINGTON,
,,268,8,9,SL,WON,BERRI,
,,159,10,6,AUS,LOST,MELBOURNE,
,,,,,,,,
,SA,171,1,9,AUS,WON,SYDNEY,
,,190,7,3,NZ,LOST,AUCKLAND,
,,195,10,7,SL,LOST,WELLINGTON,
,,200,8,10,WI,WON,CHRISTCHURCH,
,,211,7,8,PAK,WON,BRISBANE,
,,164,3,10,ZIM,WON,CANBERRA,
,,236,4,7,ENG,LOST,MELBOURNE,
,,181,4,6,IND,WON,ADELAIDE,
,,232,6,6,ENG,LOST,SYDNEY,
