YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
1983,ENG,322,6,10,NZ,WON,LONDON,INDIA
,ENG,339,9,10,SL,WON,TAUNTON,
,ENG,199,2,8,PAK,WON,LONDON,
,ENG,234,10,8,NZ,LOST,BIRMINGHAM,
,ENG,233,3,8,PAK,WON,MANCHESTER,
,ENG,137,1,10,SL,WON,LEEDS,
,ENG,213,10,4,IND,LOST,MANCHESTER,
,,,,,,,,
,NZ,216,10,6,ENG,LOST,LONDON,
,NZ,238,9,10,PAK,WON,BIRMINGHAM,
,NZ,209,5,10,SL,WON,BRISTOL,
,NZ,238,9,10,ENG,WON,BIRMINGHAM,
,NZ,181,10,7,SL,LOST,DERBY,
,NZ,250,10,3,PAK,LOST,NOTTINGHAM,
,,,,,,,,
,PAK,338,5,9,SL,WON,SWANSEA,
,PAK,186,10,9,NZ,LOST,BIRMINGHAM,
,PAK,193,8,2,ENG,LOST,LONDON,
,PAK,235,7,10,SL,WON,LEEDS,
,PAK,232,8,3,ENG,LOST,MANCHESTER,
,PAK,261,3,10,NZ,WON,NOTTINGHAM,
,PAK,184,8,2,WI,LOST,LONDON,
,,,,,,,,
,SL,288,9,5,PAK,LOST,SWANSEA,
,SL,286,10,9,ENG,WON,TAUNTON,
,SL,206,10,5,NZ,LOST,BRISTOL,
,SL,224,10,7,PAK,LOST,LEEDS,
,SL,184,7,10,NZ,WON,DERBY,
,SL,136,10,1,ENG,LOST,LEEDS,
,,,,,,,,
,AUS,226,7,6,ZIM,LOST,NOTTINGHAM,
,AUS,151,10,9,WI,LOST,LEEDS,
,AUS,320,9,10,IND,WON,NOTTINGHAM,
,AUS,272,7,10,ZIM,WON,SOUTHAMPTON,
,AUS,273,6,3,WI,LOST,LONDON,
,AUS,129,10,10,IND,LOST,CHELMSFORD,
,,,,,,,,
,ZIM,239,6,7,AUS,WON,NOTTINGHAM,
,ZIM,155,10,5,IND,LOST,LEICESTER,
,ZIM,217,7,2,WI,LOST,WORCESTER,
,ZIM,240,10,7,AUS,LOST,SOUTHAMPTON,
,ZIM,235,10,8,IND,LOST,TURNBRIDGE WELLS,
,ZIM,171,10,0,WI,LOST,BIRMINGHAM,
,,,,,,,,
,IND,262,8,10,WI,WON,MANCHESTER,
,IND,157,5,10,ZIM,WON,LEICESTER,
,IND,158,10,9,AUS,LOST,NOTTINGHAM,
,IND,216,10,9,WI,LOST,LONDON,
,IND,266,8,10,ZIM,WON,TURNBRIDGE WELLS,
,IND,247,10,10,AUS,WON,CHELMSFORD,
,IND,217,4,10,ENG,WON,MANCHESTER,
,IND,183,10,10,WI,WON,LONDON,
,,,,,,,,
,WI,228,10,8,IND,LOST,MANCHESTER,
,WI,252,9,10,AUS,WON,LEEDS,
,WI,218,2,7,ZIM,WON,WORCESTER,
,WI,282,9,10,IND,WON,LONDON,
,WI,276,3,6,AUS,WON,LONDON,
,WI,172,0,10,ZIM,WON,BIRMINGHAM,
,WI,188,2,8,PAK,WON,LONDON,
,WI,140,10,10,IND,LOST,LONDON,
